amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
407-3412855-0845933	407-3412855-0845933	2019-08-23T06:13:30+00:00	2019-08-23T11:28:06+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	BP-STAS-9Y8E	B07TVFFPRB	Shipped	1	INR	895.0		40.0					40.0	BENGALURU	KARNATAKA	562112	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
403-9460498-2543502		2019-08-22T21:22:40+00:00	2019-08-27T03:40:05+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Viscose Check Scarf, Stole, Wrap (Multicolour- Grey)	8Z-4Q6N-P3E5	B07TP2CLTB	Shipped	1	INR	499.0	23.76							Wagholi,Pune	MAHARASHTRA	412207	IN	Amazon PLCC Free-Financing Universal Merchant AAT-G3SN76P7M3GWS,Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-BQWNP3SL2RF3W,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant AAT-DK6FPIJA4N5ZE,Amazon PLCC Free-Financing Universal Merchant AAT-W4LB43S7Y5W4U,Amazon PLCC Free-Financing Universal Merchant AAT-QV7WYCL3DCYUO	false			Easy Ship	false
402-0800535-5845963	402-0800535-5845963	2019-08-22T10:20:03+00:00	2019-08-23T11:25:25+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Red Faux Pashmina Wool Kashmiri Design Shawl, Warm and Soft, Jacquard Palla (Apple Red)	7H-D14Q-4SVA	B07TVFDGZB	Unshipped	1	INR	895.0								Noida	UTTAR PRADESH	201301	IN		false				false
404-9931929-2149155		2019-08-22T09:33:28+00:00	2019-08-28T05:50:33+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Viscose Check Scarf, Stole, Wrap (Multicolour- Grey)	8Z-4Q6N-P3E5	B07TP2CLTB	Shipped	1	INR	499.0	23.76							SHAHDOL	MADHYA PRADESH	484001	IN	Amazon PLCC Free-Financing Universal Merchant AAT-G3SN76P7M3GWS,Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-BQWNP3SL2RF3W,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant AAT-SUPUBDGM2QXJO,Amazon PLCC Free-Financing Universal Merchant AAT-TKLLOFBXVGZUM	false			Easy Ship	false
171-1299503-5207519		2019-08-22T09:19:08+00:00	2019-08-25T03:51:04+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Faux Pashmina Stole, Warm and Smooth Texture, Luxury Floral Kashmiri Shawls, Stoles & Wraps (Taupe (Beige))	S0-MZBC-NAW7	B07TPTYH6H	Shipped	1	INR	1495.0	149.47					89.29		NEW DELHI	DELHI	110088	IN	Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1559642618760,Amazon PLCC Free-Financing Universal Merchant AAT-G3SN76P7M3GWS,Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-BQWNP3SL2RF3W,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant AAT-SUPUBDGM2QXJO,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1566217186471,Amazon PLCC Free-Financing Universal Merchant AAT-TKLLOFBXVGZUM,VPC-44571-3489150 Coupon	false			Easy Ship	false
403-5033730-8017168		2019-08-22T07:05:25+00:00	2019-08-25T04:41:09+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Faux Pashmina Stole, Warm and Smooth Texture, Luxury Floral Kashmiri Shawls, Stoles & Wraps (Taupe (Beige))	S0-MZBC-NAW7	B07TPTYH6H	Shipped	1	INR	1495.0	149.47					89.29		NEW DELHI	DELHI	110055	IN	Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1559642618760,Amazon PLCC Free-Financing Universal Merchant AAT-G3SN76P7M3GWS,Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-BQWNP3SL2RF3W,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant AAT-SUPUBDGM2QXJO,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1566217186471,Amazon PLCC Free-Financing Universal Merchant AAT-TKLLOFBXVGZUM,VPC-44571-3489150 Coupon	false			Easy Ship	false
406-4217343-0205900		2019-08-22T03:45:13+00:00	2019-08-24T08:37:17+00:00	Cancelled	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Faux Pashmina Shawl, Stole Warm and Smooth Texture, Luxury Shawls, Stoles & Wraps (Hot Pink)	CY-G3AR-IY5C	B07TNQJ2F1		0										GHAZIABAD	UTTAR PRADESH	201001	IN		false			Easy Ship	false
406-4217343-0205900		2019-08-22T03:45:13+00:00	2019-08-24T08:37:17+00:00	Cancelled	Merchant	Amazon.in			Standard	Pashmoda- Women's 100% Pure Wool Kaani Weave Stole, Paisley Jaal Design Kashmiri Shawls, Stoles & Wraps (Red)	MS-QDXS-NBUJ	B07V9TZ3BB		0										GHAZIABAD	UTTAR PRADESH	201001	IN		false			Easy Ship	false
406-4078565-8073909	406-4078565-8073909	2019-08-22T03:45:13+00:00	2019-08-24T08:38:27+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	BP-STAS-9Y8E	B07TVFFPRB	Unshipped	1	INR	895.0								GHAZIABAD	UTTAR PRADESH	201001	IN		false				false
406-4078565-8073909	406-4078565-8073909	2019-08-22T03:45:13+00:00	2019-08-24T08:38:27+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl, Warm and Soft, Jacquard Border (Black)	KT-O5V4-GDZO	B07TPLWZ9Q	Unshipped	1	INR	895.0								GHAZIABAD	UTTAR PRADESH	201001	IN		false				false
