amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
404-9141164-6943515	404-9141164-6943515	2019-09-13T01:38:32+00:00	2019-09-13T08:31:03+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	BP-STAS-9Y8E	B07TVFFPRB	Shipped	1	INR	895.0								NEW DELHI	DELHI	110016	IN		false				false
406-6860470-6578724		2019-09-12T20:20:16+00:00	2019-09-20T06:32:38+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Kullu Jamawar Shawl || Faux Pashmina Wool Shawls || Women Stoles || Wraps (40x80 Inches)	ERS_S_02-Black	B07XHT5JNJ	Shipped	1	INR	1495.0	149.47					89.29		Bangalore	KARNATAKA	560076	IN	Amazon PLCC Free-Financing Universal Merchant AAT-WOZNLRQEZ4J3Y,Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-BQWNP3SL2RF3W,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-AN26NCQNFXZ2G,Amazon PLCC Free-Financing Universal Merchant AAT-37EFDVRCOPJP4,VPC-44571-3703405 Coupon	false			Easy Ship	false
404-8138141-3962744	404-8138141-3962744	2019-09-12T19:00:30+00:00	2019-09-15T08:51:42+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Red Faux Pashmina Wool Kashmiri Design Shawl, Warm and Soft, Jacquard Palla (Apple Red)	7H-D14Q-4SVA	B07TVFDGZB	Shipped	1	INR	895.0								NOIDA	UTTAR PRADESH	201301	IN		false				false
171-8325984-5234716	171-8325984-5234716	2019-09-12T16:52:05+00:00	2019-09-12T16:53:02+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	BP-STAS-9Y8E	B07TVFFPRB	Cancelled	0										BENGALURU	KARNATAKA	560067	IN		false				false
171-0633853-1947563	171-0633853-1947563	2019-09-12T16:49:35+00:00	2019-09-13T05:47:27+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	BP-STAS-9Y8E	B07TVFFPRB	Shipped	1	INR	895.0		40.0				100.0	40.0	BENGALURU	KARNATAKA	560067	IN	IN Core Free Shipping 2015/04/08 23-48-5-108,VPC-44571-3611381 Coupon	false				false
405-2673855-8371534		2019-09-12T10:32:20+00:00	2019-09-19T04:20:33+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda women's Blended Wool Jamawar Border Shawls/Stoles/Wrap - (Black_40 x 80 Inches)	shawl-003-Black	B07VWK8YTH	Shipped	1	INR	1395.0	149.46							IMPHAL	MANIPUR	795001	IN	Amazon PLCC Free-Financing Universal Merchant AAT-WOZNLRQEZ4J3Y,Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-BQWNP3SL2RF3W,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant AAT-AN26NCQNFXZ2G,Amazon PLCC Free-Financing Universal Merchant AAT-37EFDVRCOPJP4	false			Easy Ship	false
405-9322499-0221132		2019-09-11T16:08:02+00:00	2019-09-15T10:14:03+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- 100% Pure Wool Stole with Heavy Embroidery Jaal, Luxury Pure Australian Merino Wool Stoles, Scarves, Shawls (Beige)	pw_aari_stole_01	B07V1HNNHP	Shipped	1	INR	1995.0	213.75							ALLAHABAD	UTTAR PRADESH	211019	IN	Amazon PLCC Free-Financing Universal Merchant AAT-WOZNLRQEZ4J3Y,Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-BQWNP3SL2RF3W,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant AAT-BQTVEFVVGCV36,Amazon PLCC Free-Financing Universal Merchant AAT-NICT4BFWL2YMI	false			Easy Ship	false
405-6949506-4197120		2019-09-11T15:54:43+00:00	2019-09-11T15:59:29+00:00	Cancelled	Merchant	Amazon.in			Standard	Pashmoda- 100% Pure Wool Stole with Heavy Embroidery Jaal, Luxury Pure Australian Merino Wool Stoles, Scarves, Shawls (Black)	pw_aari_stole_02	B07V1JBPG8		0										ALLAHABAD	UTTAR PRADESH	211001	IN		false			Easy Ship	false
408-0264957-1169145		2019-09-11T09:28:58+00:00	2019-09-15T09:29:11+00:00	Cancelled	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Faux Pashmina Stole, Warm and Smooth Texture, Luxury Floral Kashmiri Shawls, Stoles & Wraps (Off white)	SJ-I4WB-0CEQ	B07TKMLXCP		0										leh	JK	194101	IN		false			Easy Ship	false
408-4898282-7889164		2019-09-11T08:05:13+00:00	2019-09-15T05:41:32+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Faux Pashmina Contrast Stole, Warm and Smooth Texture, Luxury Paisley Design Kashmiri Shawls, Stoles & Wraps (Pink)	4V-5CZO-NO81	B07TXLYY95	Shipped	1	INR	1245.0	133.39							VARANASI	UTTAR PRADESH	221001	IN	Amazon PLCC Free-Financing Universal Merchant AAT-WOZNLRQEZ4J3Y,Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-BQWNP3SL2RF3W,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant Script-1567058026376,Amazon PLCC Free-Financing Universal Merchant AAT-BQTVEFVVGCV36,Amazon PLCC Free-Financing Universal Merchant AAT-NICT4BFWL2YMI	false			Easy Ship	false
