amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
171-4371971-4021145	171-4371971-4021145	2020-02-27T17:55:42+00:00	2020-02-28T09:13:03+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2495.0								JAMMU	JAMMU & KASHMIR	180001	IN		false				false
407-0088081-7297162		2020-02-27T16:09:50+00:00	2020-03-01T05:10:40+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's 100% Pure Wool Printed Shawl, Luxury Kashmiri Shawls and Stoles, The Woolmark Company Certified (Size: 40x80 Inches)	LI-S-01-BROWN	B083ZVVBZY	Shipped	1	INR	2645.0	283.39							GURUGRAM	HARYANA	122001	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1576488556702,Amazon PLCC Free-Financing Universal Merchant AAT-3XYFH22Z4X4FW,Amazon PLCC Free-Financing Universal Merchant AAT-GLJGS4QYLSPTI,Amazon PLCC Free-Financing Universal Merchant AAT-TNN2ILTYJVAMG,Amazon PLCC Free-Financing Universal Merchant AAT-CQ3HIF7GKSHRS,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC	false			Easy Ship	false
406-5163864-3413132	406-5163864-3413132	2020-02-27T11:52:56+00:00	2020-02-28T07:18:55+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2495.0		40.0		30.0			40.0	AHMEDABAD	GUJARAT	380058	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
407-8240046-5685147	407-8240046-5685147	2020-02-27T06:42:48+00:00	2020-02-27T06:43:29+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Cancelled	0										HOWRAH	WEST BENGAL	711102	IN		false				false
406-4629421-9581143	406-4629421-9581143	2020-02-27T03:08:05+00:00	2020-02-27T07:10:31+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Unshipped	1	INR	2495.0								AHMEDABAD	GUJARAT	380058	IN		false				false
407-2569400-6775545		2020-02-26T13:45:11+00:00	2020-02-29T04:35:59+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Kashmiri Aari Embroidery Stole | Luxury Heritage Kashmiri Stoles |Women Scarves | Women Stole (Size 28x80 Inch) (Beige)	ERS_S_017-Beige	B07YNRBHK4	Shipped	1	INR	1495.0	160.18							NEW DELHI	DELHI	110027	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1576488556702,Amazon PLCC Free-Financing Universal Merchant AAT-3XYFH22Z4X4FW,Amazon PLCC Free-Financing Universal Merchant AAT-GLJGS4QYLSPTI,Amazon PLCC Free-Financing Universal Merchant AAT-TNN2ILTYJVAMG,Amazon PLCC Free-Financing Universal Merchant AAT-CQ3HIF7GKSHRS,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC	false			Easy Ship	false
403-5705053-5586733	403-5705053-5586733	2020-02-26T11:23:44+00:00	2020-02-27T07:44:38+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0								NAVI MUMBAI	MAHARASHTRA	400706	IN		false				false
407-0213007-6259506		2020-02-26T04:36:31+00:00	2020-03-05T10:21:31+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani 100% Pure Wool Stole, Luxury Paisley Design Kashmiri Shawls, Stoles & Wraps (Grey)	RS-ST-06-GREY	B07V5VQJZT	Shipped	1	INR	2695.0	288.75							KOHIMA	NAGALAND	797001	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1576488556702,Amazon PLCC Free-Financing Universal Merchant AAT-3XYFH22Z4X4FW,Amazon PLCC Free-Financing Universal Merchant AAT-GLJGS4QYLSPTI,Amazon PLCC Free-Financing Universal Merchant AAT-TNN2ILTYJVAMG,Amazon PLCC Free-Financing Universal Merchant AAT-CQ3HIF7GKSHRS,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC	false			Easy Ship	false
171-2949566-4750761	171-2949566-4750761	2020-02-26T04:06:57+00:00	2020-02-26T10:02:09+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2495.0				30.0				BHOPAL	MADHYA PRADESH	462021	IN		false				false
171-9411232-1609146	171-9411232-1609146	2020-02-26T04:02:11+00:00	2020-02-26T04:04:52+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Cancelled	0										BHOPAL	MADHYA PRADESH	462021	IN		false				false
